l1,l2,l3,Actual pose x,Actual pose y,Actual pose z,Actual pose roll,Actual pose pitch,Actual pose yaw,IMU roll,IMU pitch,IMU yaw,Pot 1 distance,Pot 2 distance,Pot 3 distance,Pot 4 distance,Pot 5 distance,Pot 6 distance,Estimated pose x,Estimated pose y,Estimated pose z,Estimated pose roll,Estimated pose pitch,Estimated pose yaw
-70.0,-7.777777777777779,-70.0,8.910630847863956,-15.43366535599094,98.60735596217502,1.594277824213844,10.079417870294204,17.931717012247795,1.5348828910627845,10.102805782637805,17.952172899650726,112.8242613504706,149.69692438899082,113.00922703400175,183.99171845351643,126.66715854134566,136.25601644304058,8,-16,99,1,9,17
-70.0,-7.777777777777779,-54.44444444444444,11.735052294584136,-12.195424082218494,104.10114603370276,1.5114072921971335,12.688426767653672,13.531513055806593,1.2477669883136495,12.621041873236912,13.576985776704765,113.60587949887602,147.28023748419832,119.14000593562804,182.79226709762233,141.58459991130903,133.57733723205465,12,-13,103,3,13,13
-70.0,-7.777777777777779,-38.888888888888886,14.78125234046638,-8.533960017728049,109.34353878249183,1.2237298613518572,15.303542109386285,9.089872147083398,1.0784176236315675,15.350018258514394,9.115267955263345,117.09332567389018,143.43334048178585,126.31207766247428,181.99315445793354,155.9412543499765,129.63815866006274,15,-9,107,3,16,9
-70.0,-7.777777777777779,-23.333333333333336,18.037513946500667,-4.463127228224479,114.29286662441497,0.7230734711530649,17.909163829758135,4.586456270552277,0.5624553256737381,17.914210452757256,4.635779901461949,123.62513056650512,141.0609755168864,132.10482223121937,184.06519293525218,170.16829472381306,128.4507158413478,16,-8,115,1,18,5
-70.0,-7.777777777777779,-7.777777777777779,21.490344986024866,0.0,118.90887042497575,0.0,20.48891221412906,0.0,-0.05325214850261093,20.51153623891781,-0.06557218572188023,126.12057208195286,136.32523160457367,138.0342066942795,186.3566278403084,184.32726670103563,124.39338511902511,21,2,118,-1,21,0
-70.0,-7.777777777777779,7.7777777777777715,25.124552659190954,4.835222413684271,123.15302355021224,-0.9560958341008711,23.025412735201172,-4.69151840628468,-0.8228313485043406,23.073042878524166,-4.694316640904446,128.0077995441916,135.99762213067834,146.47501834182896,187.4395391714698,199.9334009520227,122.73305593980534,27,3,123,1,24,-5
-70.0,-7.777777777777779,23.33333333333333,28.923331876184648,10.019336066745652,126.9888452703195,-2.1567322429709512,25.500080062893815,-9.510582269746532,-2.1592375366743246,25.517798579474583,-9.498903102423311,129.6900977087249,135.65141142205226,150.23084096099382,189.7725872203278,213.48320160257165,120.65028495741105,28,9,126,-1,25,-9
-70.0,-7.777777777777779,38.888888888888886,32.86836703509559,15.526276818165698,130.38220098754326,-3.613877594209558,27.8929179037865,-14.479657606954339,-3.5694879761624727,27.946491317871935,-14.421876005414221,129.67533431089873,133.93687827400973,154.3937287889498,195.97404587129924,228.66975062526336,118.58007713505401,35,13,129,-2,29,-13
-70.0,-7.777777777777779,54.44444444444444,36.939946511160514,21.327288062068902,133.30158685108356,-5.339215208359055,30.182359765512096,-19.620460262841323,-5.3046335308718,30.160852333107485,-19.741071438326458,132.03677052007924,132.4157653490657,157.19562752198945,200.52837691970674,244.77856920526406,114.69563200469443,35,28,133,-6,30,-22
-70.0,-7.777777777777779,70.0,41.11708906976591,27.391110510834423,135.71839643259807,-7.343068835190891,32.34518667430175,-24.952897429690182,-7.321332571701913,32.177338406953865,-24.912209297971508,131.95808681038486,133.02618271508035,160.09864602531442,204.75496425699004,257.74603108312044,112.99558721271588,41,18,139,-4,32,-25
